State,ConditionGroup,AgeGroup,COVID19Deaths
United States,All other conditions and causes (residual),0-24,2365.0
United States,All other conditions and causes (residual),25-34,5402.0
United States,All other conditions and causes (residual),35-44,12464.0
United States,All other conditions and causes (residual),45-54,29174.0
United States,All other conditions and causes (residual),55-64,68048.0
United States,All other conditions and causes (residual),65-74,110640.0
United States,All other conditions and causes (residual),75-84,126324.0
United States,All other conditions and causes (residual),85+,123090.0
United States,All other conditions and causes (residual),Not stated,14.0
United States,All other conditions and causes (residual),All Ages,477521.0
United States,COVID-19,0-24,4320.0
United States,COVID-19,25-34,12354.0
United States,COVID-19,35-44,30071.0
United States,COVID-19,45-54,71364.0
United States,COVID-19,55-64,159656.0
United States,COVID-19,65-74,256711.0
United States,COVID-19,75-84,300009.0
United States,COVID-19,85+,311734.0
United States,COVID-19,Not stated,23.0
United States,COVID-19,All Ages,1146242.0
Alabama,Respiratory diseases,0-24,33.0
Alabama,Respiratory diseases,25-34,275.0
Alabama,Respiratory diseases,35-44,686.0
Alabama,Respiratory diseases,45-54,1714.0
Alabama,Respiratory diseases,55-64,3758.0
Alabama,Respiratory diseases,65-74,5724.0
Alabama,Respiratory diseases,75-84,5663.0
Alabama,Respiratory diseases,85+,3405.0
Alabama,Respiratory diseases,Not stated,0.0
Alabama,Respiratory diseases,All Ages,21283.0
Alabama,Circulatory diseases,0-24,12.0
Alabama,Circulatory diseases,25-34,87.0
Alabama,Circulatory diseases,35-44,353.0
Alabama,Circulatory diseases,45-54,819.0
Alabama,Circulatory diseases,55-64,2087.0
Alabama,Circulatory diseases,65-74,3257.0
Alabama,Circulatory diseases,75-84,3604.0
Alabama,Circulatory diseases,85+,2872.0
Alabama,Circulatory diseases,Not stated,0.0
Alabama,Circulatory diseases,All Ages,13128.0
Alabama,Sepsis,0-24,0
Alabama,Sepsis,25-34,35.0
Alabama,Sepsis,35-44,106.0
Alabama,Sepsis,45-54,267.0
Alabama,Sepsis,55-64,530.0
Alabama,Sepsis,65-74,768.0
Alabama,Sepsis,75-84,624.0
Alabama,Sepsis,85+,268.0
Alabama,Sepsis,Not stated,0.0
Alabama,Sepsis,All Ages,2605.0
Alabama,Malignant neoplasms,0-24,0
Alabama,Malignant neoplasms,25-34,0
Alabama,Malignant neoplasms,35-44,17.0
Alabama,Malignant neoplasms,45-54,41.0
Alabama,Malignant neoplasms,55-64,164.0
Alabama,Malignant neoplasms,65-74,309.0
Alabama,Malignant neoplasms,75-84,289.0
Alabama,Malignant neoplasms,85+,157.0
Alabama,Malignant neoplasms,Not stated,0.0
Alabama,Malignant neoplasms,All Ages,983.0
Alabama,Diabetes,0-24,0
Alabama,Diabetes,25-34,23.0
Alabama,Diabetes,35-44,80.0
Alabama,Diabetes,45-54,194.0
Alabama,Diabetes,55-64,432.0
Alabama,Diabetes,65-74,634.0
Alabama,Diabetes,75-84,592.0
Alabama,Diabetes,85+,242.0
Alabama,Diabetes,Not stated,0.0
Alabama,Diabetes,All Ages,2198.0
Alabama,Obesity,0-24,0
Alabama,Obesity,25-34,31.0
Alabama,Obesity,35-44,80.0
Alabama,Obesity,45-54,112.0
Alabama,Obesity,55-64,180.0
Alabama,Obesity,65-74,127.0
Alabama,Obesity,75-84,67.0
Alabama,Obesity,85+,13.0
Alabama,Obesity,Not stated,0.0
Alabama,Obesity,All Ages,613.0
Alabama,Alzheimer disease,0-24,0.0
Alabama,Alzheimer disease,25-34,0.0
Alabama,Alzheimer disease,35-44,0.0
Alabama,Alzheimer disease,45-54,0
Alabama,Alzheimer disease,55-64,0
Alabama,Alzheimer disease,65-74,48.0
Alabama,Alzheimer disease,75-84,166.0
Alabama,Alzheimer disease,85+,252.0
Alabama,Alzheimer disease,Not stated,0.0
Alabama,Alzheimer disease,All Ages,473.0
Alabama,Vascular and unspecified dementia,0-24,0.0
Alabama,Vascular and unspecified dementia,25-34,0.0
Alabama,Vascular and unspecified dementia,35-44,0.0
Alabama,Vascular and unspecified dementia,45-54,0.0
Alabama,Vascular and unspecified dementia,55-64,17.0
Alabama,Vascular and unspecified dementia,65-74,137.0
Alabama,Vascular and unspecified dementia,75-84,375.0
Alabama,Vascular and unspecified dementia,85+,546.0
Alabama,Vascular and unspecified dementia,Not stated,0.0
Alabama,Vascular and unspecified dementia,All Ages,1075.0
Alabama,Renal failure,0-24,0
Alabama,Renal failure,25-34,23.0
Alabama,Renal failure,35-44,87.0
Alabama,Renal failure,45-54,200.0
Alabama,Renal failure,55-64,429.0
Alabama,Renal failure,65-74,711.0
Alabama,Renal failure,75-84,644.0
Alabama,Renal failure,85+,336.0
Alabama,Renal failure,Not stated,0.0
Alabama,Renal failure,All Ages,2436.0
Alabama,"Intentional and unintentional injury, and other adverse events",681.0
Alabama,All other conditions and causes (residual),0-24,27.0
Alabama,All other conditions and causes (residual),25-34,118.0
Alabama,All other conditions and causes (residual),35-44,236.0
Alabama,All other conditions and causes (residual),45-54,563.0
Alabama,All other conditions and causes (residual),55-64,1320.0
Alabama,All other conditions and causes (residual),65-74,2005.0
Alabama,All other conditions and causes (residual),75-84,1948.0
Alabama,All other conditions and causes (residual),85+,1348.0
Alabama,All other conditions and causes (residual),Not stated,0.0
Alabama,All other conditions and causes (residual),All Ages,7565.0
Alabama,COVID-19,0-24,60.0
Alabama,COVID-19,25-34,264.0
Alabama,COVID-19,35-44,670.0
Alabama,COVID-19,45-54,1628.0
Alabama,COVID-19,55-64,3567.0
Alabama,COVID-19,65-74,5479.0
Alabama,COVID-19,75-84,5632.0
Alabama,COVID-19,85+,4213.0
Alabama,COVID-19,Not stated,0.0
Alabama,COVID-19,All Ages,21513.0
Alaska,Respiratory diseases,0-24,0.0
Alaska,Respiratory diseases,25-34,34.0
Alaska,Respiratory diseases,35-44,72.0
Alaska,Respiratory diseases,45-54,151.0
Alaska,Respiratory diseases,55-64,271.0
Alaska,Respiratory diseases,65-74,480.0
Alaska,Respiratory diseases,75-84,400.0
Alaska,Respiratory diseases,85+,183.0
Alaska,Respiratory diseases,Not stated,0.0
Alaska,Respiratory diseases,All Ages,1657.0
Alaska,Circulatory diseases,0-24,0.0
Alaska,Circulatory diseases,25-34,0.0
Alaska,Circulatory diseases,35-44,15.0
Alaska,Circulatory diseases,45-54,42.0
Alaska,Circulatory diseases,55-64,107.0
Alaska,Circulatory diseases,65-74,210.0
Alaska,Circulatory diseases,75-84,234.0
Alaska,Circulatory diseases,85+,158.0
Alaska,Circulatory diseases,Not stated,0.0
Alaska,Circulatory diseases,All Ages,831.0
Alaska,Sepsis,0-24,0
Alaska,Sepsis,25-34,0.0
Alaska,Sepsis,35-44,0
Alaska,Sepsis,45-54,14.0
Alaska,Sepsis,55-64,18.0
Alaska,Sepsis,65-74,26.0
Alaska,Sepsis,75-84,21.0
Alaska,Sepsis,85+,0
Alaska,Sepsis,Not stated,0.0
Alaska,Sepsis,All Ages,92.0
Alaska,Malignant neoplasms,0-24,0.0
Alaska,Malignant neoplasms,25-34,0
Alaska,Malignant neoplasms,35-44,0
Alaska,Malignant neoplasms,45-54,0
Alaska,Malignant neoplasms,55-64,19.0
Alaska,Malignant neoplasms,65-74,32.0
Alaska,Malignant neoplasms,75-84,29.0
Alaska,Malignant neoplasms,85+,14.0
Alaska,Malignant neoplasms,Not stated,0.0
Alaska,Malignant neoplasms,All Ages,101.0
Alaska,Diabetes,0-24,0
Alaska,Diabetes,25-34,0
Alaska,Diabetes,35-44,0
Alaska,Diabetes,45-54,13.0
Alaska,Diabetes,55-64,31.0
Alaska,Diabetes,65-74,31.0
Alaska,Diabetes,75-84,32.0
Alaska,Diabetes,85+,14.0
Alaska,Diabetes,Not stated,0.0
Alaska,Diabetes,All Ages,126.0
Alaska,Obesity,0-24,0
Alaska,Obesity,25-34,11.0
Alaska,Obesity,35-44,15.0
Alaska,Obesity,45-54,15.0
Alaska,Obesity,55-64,21.0
Alaska,Obesity,65-74,16.0
Alaska,Obesity,75-84,0
Alaska,Obesity,85+,0
Alaska,Obesity,Not stated,0.0
Alaska,Obesity,All Ages,90.0
Alaska,Alzheimer disease,0-24,0.0
Alaska,Alzheimer disease,25-34,0.0
Alaska,Alzheimer disease,35-44,0.0
Alaska,Alzheimer disease,45-54,0.0
Alaska,Alzheimer disease,55-64,0
Alaska,Alzheimer disease,65-74,0
Alaska,Alzheimer disease,75-84,14.0
Alaska,Alzheimer disease,85+,21.0
Alaska,Alzheimer disease,Not stated,0.0
Alaska,Alzheimer disease,All Ages,40.0
Alaska,Vascular and unspecified dementia,0-24,0.0
Alaska,Vascular and unspecified dementia,25-34,0.0
Alaska,Vascular and unspecified dementia,35-44,0.0
Alaska,Vascular and unspecified dementia,45-54,0.0
Alaska,Vascular and unspecified dementia,55-64,0.0
Alaska,Vascular and unspecified dementia,65-74,0
Alaska,Vascular and unspecified dementia,75-84,29.0
Alaska,Vascular and unspecified dementia,85+,43.0
Alaska,Vascular and unspecified dementia,Not stated,0.0
Alaska,Vascular and unspecified dementia,All Ages,80.0
Alaska,Renal failure,0-24,0.0
Alaska,Renal failure,25-34,0
Alaska,Renal failure,35-44,0
Alaska,Renal failure,45-54,12.0
Alaska,Renal failure,55-64,19.0
Alaska,Renal failure,65-74,48.0
Alaska,Renal failure,75-84,47.0
Alaska,Renal failure,85+,26.0
Alaska,Renal failure,Not stated,0.0
Alaska,Renal failure,All Ages,161.0
Alaska,"Intentional and unintentional injury, and other adverse events",91.0
Alaska,All other conditions and causes (residual),0-24,13.0
Alaska,All other conditions and causes (residual),25-34,21.0
Alaska,All other conditions and causes (residual),35-44,43.0
Alaska,All other conditions and causes (residual),45-54,61.0
Alaska,All other conditions and causes (residual),55-64,111.0
Alaska,All other conditions and causes (residual),65-74,175.0
Alaska,All other conditions and causes (residual),75-84,149.0
Alaska,All other conditions and causes (residual),85+,114.0
Alaska,All other conditions and causes (residual),Not stated,0.0
Alaska,All other conditions and causes (residual),All Ages,687.0
Alaska,COVID-19,0-24,15.0
Alaska,COVID-19,25-34,35.0
Alaska,COVID-19,35-44,70.0
Alaska,COVID-19,45-54,129.0
Alaska,COVID-19,55-64,244.0
Alaska,COVID-19,65-74,389.0
Alaska,COVID-19,75-84,360.0
Alaska,COVID-19,85+,249.0
Alaska,COVID-19,Not stated,0.0
Alaska,COVID-19,All Ages,1491.0
Arizona,Respiratory diseases,0-24,172.0
Arizona,Respiratory diseases,25-34,592.0
Arizona,Respiratory diseases,35-44,1329.0
Arizona,Respiratory diseases,45-54,3105.0
Arizona,Respiratory diseases,55-64,6474.0
Arizona,Respiratory diseases,65-74,10188.0
Arizona,Respiratory diseases,75-84,10659.0
Arizona,Respiratory diseases,85+,6953.0
Arizona,Respiratory diseases,Not stated,0.0
Arizona,Respiratory diseases,All Ages,39484.0
Arizona,Circulatory diseases,0-24,37.0
Arizona,Circulatory diseases,25-34,162.0
Arizona,Circulatory diseases,35-44,380.0
Arizona,Circulatory diseases,45-54,1055.0
Arizona,Circulatory diseases,55-64,2397.0
Arizona,Circulatory diseases,65-74,4034.0
Arizona,Circulatory diseases,75-84,5375.0
Arizona,Circulatory diseases,85+,4558.0
Arizona,Circulatory diseases,Not stated,0.0
Arizona,Circulatory diseases,All Ages,18021.0
Arizona,Sepsis,0-24,18.0
Arizona,Sepsis,25-34,47.0
Arizona,Sepsis,35-44,84.0
Arizona,Sepsis,45-54,225.0
Arizona,Sepsis,55-64,431.0
Arizona,Sepsis,65-74,542.0
Arizona,Sepsis,75-84,439.0
Arizona,Sepsis,85+,179.0
Arizona,Sepsis,Not stated,0.0
Arizona,Sepsis,All Ages,1965.0
Arizona,Malignant neoplasms,0-24,0
Arizona,Malignant neoplasms,25-34,11.0
Arizona,Malignant neoplasms,35-44,20.0
Arizona,Malignant neoplasms,45-54,53.0
Arizona,Malignant neoplasms,55-64,206.0
Arizona,Malignant neoplasms,65-74,420.0
Arizona,Malignant neoplasms,75-84,480.0
Arizona,Malignant neoplasms,85+,261.0
Arizona,Malignant neoplasms,Not stated,0.0
Arizona,Malignant neoplasms,All Ages,1458.0
Arizona,Diabetes,0-24,11.0
Arizona,Diabetes,25-34,49.0
Arizona,Diabetes,35-44,124.0
Arizona,Diabetes,45-54,380.0
Arizona,Diabetes,55-64,808.0
Arizona,Diabetes,65-74,1102.0
Arizona,Diabetes,75-84,1094.0
Arizona,Diabetes,85+,549.0
Arizona,Diabetes,Not stated,0.0
Arizona,Diabetes,All Ages,4117.0
Arizona,Obesity,0-24,36.0
Arizona,Obesity,25-34,125.0
Arizona,Obesity,35-44,231.0
Arizona,Obesity,45-54,345.0
Arizona,Obesity,55-64,430.0
Arizona,Obesity,65-74,383.0
Arizona,Obesity,75-84,146.0
Arizona,Obesity,85+,31.0
Arizona,Obesity,Not stated,0.0
Arizona,Obesity,All Ages,1727.0
Arizona,Alzheimer disease,0-24,0.0
Arizona,Alzheimer disease,25-34,0.0
Arizona,Alzheimer disease,35-44,0.0
Arizona,Alzheimer disease,45-54,0
Arizona,Alzheimer disease,55-64,0
Arizona,Alzheimer disease,65-74,62.0
Arizona,Alzheimer disease,75-84,218.0
Arizona,Alzheimer disease,85+,457.0
Arizona,Alzheimer disease,Not stated,0.0
Arizona,Alzheimer disease,All Ages,745.0
Arizona,Vascular and unspecified dementia,0-24,0.0
Arizona,Vascular and unspecified dementia,25-34,0.0
Arizona,Vascular and unspecified dementia,35-44,0.0
Arizona,Vascular and unspecified dementia,45-54,0.0
Arizona,Vascular and unspecified dementia,55-64,20.0
Arizona,Vascular and unspecified dementia,65-74,112.0
Arizona,Vascular and unspecified dementia,75-84,451.0
Arizona,Vascular and unspecified dementia,85+,780.0
Arizona,Vascular and unspecified dementia,Not stated,0.0
Arizona,Vascular and unspecified dementia,All Ages,1363.0
Arizona,Renal failure,0-24,11.0
Arizona,Renal failure,25-34,40.0
Arizona,Renal failure,35-44,86.0
Arizona,Renal failure,45-54,235.0
Arizona,Renal failure,55-64,499.0
Arizona,Renal failure,65-74,780.0
Arizona,Renal failure,75-84,747.0
Arizona,Renal failure,85+,460.0
Arizona,Renal failure,Not stated,0.0
Arizona,Renal failure,All Ages,2858.0
Arizona,"Intentional and unintentional injury, and other adverse events",1640.0
Arizona,All other conditions and causes (residual),0-24,73.0
Arizona,All other conditions and causes (residual),25-34,194.0
Arizona,All other conditions and causes (residual),35-44,381.0
Arizona,All other conditions and causes (residual),45-54,881.0
Arizona,All other conditions and causes (residual),55-64,1814.0
Arizona,All other conditions and causes (residual),65-74,2847.0
Arizona,All other conditions and causes (residual),75-84,3224.0
Arizona,All other conditions and causes (residual),85+,2451.0
Arizona,All other conditions and causes (residual),Not stated,0.0
Arizona,All other conditions and causes (residual),All Ages,11865.0
Arizona,COVID-19,0-24,156.0
Arizona,COVID-19,25-34,481.0
Arizona,COVID-19,35-44,1000.0
Arizona,COVID-19,45-54,2229.0
Arizona,COVID-19,55-64,4582.0
Arizona,COVID-19,65-74,7300.0
Arizona,COVID-19,75-84,8225.0
Arizona,COVID-19,85+,6336.0
Arizona,COVID-19,Not stated,0.0
Arizona,COVID-19,All Ages,30309.0
Arkansas,Respiratory diseases,0-24,32.0
Arkansas,Respiratory diseases,25-34,169.0
Arkansas,Respiratory diseases,35-44,383.0
Arkansas,Respiratory diseases,45-54,998.0
Arkansas,Respiratory diseases,55-64,2426.0
Arkansas,Respiratory diseases,65-74,3886.0
Arkansas,Respiratory diseases,75-84,4106.0
Arkansas,Respiratory diseases,85+,3014.0
Arkansas,Respiratory diseases,Not stated,0.0
Arkansas,Respiratory diseases,All Ages,15051.0
Arkansas,Circulatory diseases,0-24,0.0
Arkansas,Circulatory diseases,25-34,46.0
Arkansas,Circulatory diseases,35-44,180.0
Arkansas,Circulatory diseases,45-54,436.0
Arkansas,Circulatory diseases,55-64,1108.0
Arkansas,Circulatory diseases,65-74,1972.0
Arkansas,Circulatory diseases,75-84,2611.0
Arkansas,Circulatory diseases,85+,2371.0
Arkansas,Circulatory diseases,Not stated,0.0
Arkansas,Circulatory diseases,All Ages,8764.0
Arkansas,Sepsis,0-24,0
Arkansas,Sepsis,25-34,18.0
Arkansas,Sepsis,35-44,51.0
Arkansas,Sepsis,45-54,109.0
Arkansas,Sepsis,55-64,243.0
Arkansas,Sepsis,65-74,358.0
Arkansas,Sepsis,75-84,306.0
Arkansas,Sepsis,85+,172.0
Arkansas,Sepsis,Not stated,0.0
Arkansas,Sepsis,All Ages,1262.0
Arkansas,Malignant neoplasms,0-24,0
Arkansas,Malignant neoplasms,25-34,0
Arkansas,Malignant neoplasms,35-44,10.0
Arkansas,Malignant neoplasms,45-54,25.0
Arkansas,Malignant neoplasms,55-64,92.0
Arkansas,Malignant neoplasms,65-74,208.0
Arkansas,Malignant neoplasms,75-84,207.0
Arkansas,Malignant neoplasms,85+,138.0
Arkansas,Malignant neoplasms,Not stated,0.0
Arkansas,Malignant neoplasms,All Ages,687.0
Arkansas,Diabetes,0-24,0
Arkansas,Diabetes,25-34,18.0
Arkansas,Diabetes,35-44,50.0
Arkansas,Diabetes,45-54,122.0
Arkansas,Diabetes,55-64,287.0
Arkansas,Diabetes,65-74,449.0
Arkansas,Diabetes,75-84,468.0
Arkansas,Diabetes,85+,259.0
Arkansas,Diabetes,Not stated,0.0
Arkansas,Diabetes,All Ages,1655.0
Arkansas,Obesity,0-24,0
Arkansas,Obesity,25-34,25.0
Arkansas,Obesity,35-44,63.0
Arkansas,Obesity,45-54,87.0
Arkansas,Obesity,55-64,113.0
Arkansas,Obesity,65-74,110.0
Arkansas,Obesity,75-84,62.0
Arkansas,Obesity,85+,0
Arkansas,Obesity,Not stated,0.0
Arkansas,Obesity,All Ages,472.0
Arkansas,Alzheimer disease,0-24,0.0
Arkansas,Alzheimer disease,25-34,0.0
Arkansas,Alzheimer disease,35-44,0.0
Arkansas,Alzheimer disease,45-54,0
Arkansas,Alzheimer disease,55-64,0
Arkansas,Alzheimer disease,65-74,35.0
Arkansas,Alzheimer disease,75-84,156.0
Arkansas,Alzheimer disease,85+,266.0
Arkansas,Alzheimer disease,Not stated,0.0
Arkansas,Alzheimer disease,All Ages,463.0
Arkansas,Vascular and unspecified dementia,0-24,0.0
Arkansas,Vascular and unspecified dementia,25-34,0.0
Arkansas,Vascular and unspecified dementia,35-44,0.0
Arkansas,Vascular and unspecified dementia,45-54,0
Arkansas,Vascular and unspecified dementia,55-64,16.0
Arkansas,Vascular and unspecified dementia,65-74,91.0
Arkansas,Vascular and unspecified dementia,75-84,322.0
Arkansas,Vascular and unspecified dementia,85+,523.0
Arkansas,Vascular and unspecified dementia,Not stated,0.0
Arkansas,Vascular and unspecified dementia,All Ages,954.0
Arkansas,Renal failure,0-24,0
Arkansas,Renal failure,25-34,17.0
Arkansas,Renal failure,35-44,47.0
Arkansas,Renal failure,45-54,100.0
Arkansas,Renal failure,55-64,188.0
Arkansas,Renal failure,65-74,369.0
Arkansas,Renal failure,75-84,377.0
Arkansas,Renal failure,85+,227.0
Arkansas,Renal failure,Not stated,0.0
Arkansas,Renal failure,All Ages,1329.0
Arkansas,"Intentional and unintentional injury, and other adverse events",541.0
Arkansas,All other conditions and causes (residual),0-24,27.0
Arkansas,All other conditions and causes (residual),25-34,78.0
Arkansas,All other conditions and causes (residual),35-44,144.0
Arkansas,All other conditions and causes (residual),45-54,311.0
Arkansas,All other conditions and causes (residual),55-64,718.0
Arkansas,All other conditions and causes (residual),65-74,1148.0
Arkansas,All other conditions and causes (residual),75-84,1297.0
Arkansas,All other conditions and causes (residual),85+,1062.0
Arkansas,All other conditions and causes (residual),Not stated,0.0
Arkansas,All other conditions and causes (residual),All Ages,4785.0
Arkansas,COVID-19,0-24,49.0
Arkansas,COVID-19,25-34,163.0
Arkansas,COVID-19,35-44,365.0
Arkansas,COVID-19,45-54,789.0
Arkansas,COVID-19,55-64,1845.0
Arkansas,COVID-19,65-74,2982.0
Arkansas,COVID-19,75-84,3498.0
Arkansas,COVID-19,85+,2970.0
Arkansas,COVID-19,Not stated,0.0
Arkansas,COVID-19,All Ages,12661.0
California,Respiratory diseases,0-24,414.0
California,Respiratory diseases,25-34,1646.0
California,Respiratory diseases,35-44,4307.0
California,Respiratory diseases,45-54,10691.0
California,Respiratory diseases,55-64,23388.0
California,Respiratory diseases,65-74,32772.0
California,Respiratory diseases,75-84,33546.0
California,Respiratory diseases,85+,31034.0
California,Respiratory diseases,Not stated,0.0
California,Respiratory diseases,All Ages,137807.0
California,Circulatory diseases,0-24,146.0
California,Circulatory diseases,25-34,726.0
California,Circulatory diseases,35-44,2008.0
California,Circulatory diseases,45-54,5312.0
California,Circulatory diseases,55-64,12833.0
California,Circulatory diseases,65-74,20638.0
California,Circulatory diseases,75-84,25341.0
California,Circulatory diseases,85+,29403.0
California,Circulatory diseases,Not stated,0.0
California,Circulatory diseases,All Ages,96430.0
California,Sepsis,0-24,60.0
California,Sepsis,25-34,222.0
California,Sepsis,35-44,576.0
California,Sepsis,45-54,1418.0
California,Sepsis,55-64,3126.0
California,Sepsis,65-74,4123.0
California,Sepsis,75-84,3469.0
California,Sepsis,85+,2708.0
California,Sepsis,Not stated,0.0
California,Sepsis,All Ages,15702.0
California,Malignant neoplasms,0-24,25.0
California,Malignant neoplasms,25-34,38.0
California,Malignant neoplasms,35-44,105.0
California,Malignant neoplasms,45-54,323.0
California,Malignant neoplasms,55-64,854.0
California,Malignant neoplasms,65-74,1647.0
California,Malignant neoplasms,75-84,1781.0
California,Malignant neoplasms,85+,1450.0
California,Malignant neoplasms,Not stated,0.0
California,Malignant neoplasms,All Ages,6223.0
California,Diabetes,0-24,26.0
California,Diabetes,25-34,197.0
California,Diabetes,35-44,667.0
California,Diabetes,45-54,1872.0
California,Diabetes,55-64,4278.0
California,Diabetes,65-74,6038.0
California,Diabetes,75-84,5502.0
California,Diabetes,85+,3723.0
California,Diabetes,Not stated,0.0
California,Diabetes,All Ages,22303.0
California,Obesity,0-24,79.0
California,Obesity,25-34,415.0
California,Obesity,35-44,719.0
California,Obesity,45-54,1170.0
California,Obesity,55-64,1493.0
California,Obesity,65-74,1238.0
California,Obesity,75-84,613.0
California,Obesity,85+,144.0
California,Obesity,Not stated,0.0
California,Obesity,All Ages,5871.0
California,Alzheimer disease,0-24,0.0
California,Alzheimer disease,25-34,0.0
California,Alzheimer disease,35-44,0.0
California,Alzheimer disease,45-54,0
California,Alzheimer disease,55-64,26.0
California,Alzheimer disease,65-74,211.0
California,Alzheimer disease,75-84,1110.0
California,Alzheimer disease,85+,2894.0
California,Alzheimer disease,Not stated,0.0
California,Alzheimer disease,All Ages,4246.0
California,Vascular and unspecified dementia,0-24,0.0
California,Vascular and unspecified dementia,25-34,0.0
California,Vascular and unspecified dementia,35-44,0.0
California,Vascular and unspecified dementia,45-54,10.0
California,Vascular and unspecified dementia,55-64,72.0
California,Vascular and unspecified dementia,65-74,490.0
California,Vascular and unspecified dementia,75-84,1803.0
California,Vascular and unspecified dementia,85+,3879.0
California,Vascular and unspecified dementia,Not stated,0.0
California,Vascular and unspecified dementia,All Ages,6254.0
California,Renal failure,0-24,35.0
California,Renal failure,25-34,188.0
California,Renal failure,35-44,481.0
California,Renal failure,45-54,1298.0
California,Renal failure,55-64,2694.0
California,Renal failure,65-74,3745.0
California,Renal failure,75-84,3584.0
California,Renal failure,85+,2987.0
California,Renal failure,Not stated,0.0
California,Renal failure,All Ages,15012.0
California,"Intentional and unintentional injury, and other adverse events",6335.0
California,All other conditions and causes (residual),0-24,238.0
California,All other conditions and causes (residual),25-34,638.0
California,All other conditions and causes (residual),35-44,1379.0
California,All other conditions and causes (residual),45-54,2941.0
California,All other conditions and causes (residual),55-64,6430.0
California,All other conditions and causes (residual),65-74,9007.0
California,All other conditions and causes (residual),75-84,9746.0
California,All other conditions and causes (residual),85+,10060.0
California,All other conditions and causes (residual),Not stated,0
California,All other conditions and causes (residual),All Ages,40441.0
California,COVID-19,0-24,447.0
California,COVID-19,25-34,1517.0
California,COVID-19,35-44,3515.0
California,COVID-19,45-54,8129.0
California,COVID-19,55-64,17092.0
California,COVID-19,65-74,23945.0
California,COVID-19,75-84,26018.0
