State,Condition Group,Condition,Age Group,COVID-19 Deaths
Alabama,Circulatory diseases,Cardiac arrhythmia,75-84,489.0
Alabama,Circulatory diseases,Cardiac arrhythmia,85+,394.0
Alabama,Circulatory diseases,Cardiac arrhythmia,Not stated,0.0
Alabama,Circulatory diseases,Cardiac arrhythmia,All Ages,1518.0
Alabama,Circulatory diseases,Heart failure,0-24,0.0
Alabama,Circulatory diseases,Heart failure,25-34,
Alabama,Circulatory diseases,Heart failure,35-44,25.0
Alabama,Circulatory diseases,Heart failure,45-54,60.0
Alabama,Circulatory diseases,Heart failure,55-64,186.0
Alabama,Circulatory diseases,Heart failure,65-74,336.0
Alabama,Circulatory diseases,Heart failure,75-84,477.0
Alabama,Circulatory diseases,Heart failure,85+,446.0
Alabama,Circulatory diseases,Heart failure,Not stated,0.0
Alabama,Circulatory diseases,Heart failure,All Ages,1534.0
Alabama,Circulatory diseases,Cerebrovascular diseases,0-24,
Alabama,Circulatory diseases,Cerebrovascular diseases,25-34,
Alabama,Circulatory diseases,Cerebrovascular diseases,35-44,24.0
Alabama,Circulatory diseases,Cerebrovascular diseases,45-54,46.0
Alabama,Circulatory diseases,Cerebrovascular diseases,55-64,131.0
Alabama,Circulatory diseases,Cerebrovascular diseases,65-74,262.0
Alabama,Circulatory diseases,Cerebrovascular diseases,75-84,283.0
Alabama,Circulatory diseases,Cerebrovascular diseases,85+,235.0
Alabama,Circulatory diseases,Cerebrovascular diseases,Not stated,0.0
Alabama,Circulatory diseases,Cerebrovascular diseases,All Ages,992.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,0-24,
Alabama,Circulatory diseases,Other diseases of the circulatory system,25-34,22.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,35-44,57.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,45-54,121.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,55-64,297.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,65-74,383.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,75-84,387.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,85+,280.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,Not stated,0.0
Alabama,Circulatory diseases,Other diseases of the circulatory system,All Ages,1554.0
Alabama,Sepsis,Sepsis,0-24,
Alabama,Sepsis,Sepsis,25-34,35.0
Alabama,Sepsis,Sepsis,35-44,106.0
Alabama,Sepsis,Sepsis,45-54,267.0
Alabama,Sepsis,Sepsis,55-64,530.0
Alabama,Sepsis,Sepsis,65-74,768.0
Alabama,Sepsis,Sepsis,75-84,624.0
Alabama,Sepsis,Sepsis,85+,268.0
Alabama,Sepsis,Sepsis,Not stated,0.0
Alabama,Sepsis,Sepsis,All Ages,2605.0
Alabama,Malignant neoplasms,Malignant neoplasms,0-24,
Alabama,Malignant neoplasms,Malignant neoplasms,25-34,
Alabama,Malignant neoplasms,Malignant neoplasms,35-44,17.0
Alabama,Malignant neoplasms,Malignant neoplasms,45-54,41.0
Alabama,Malignant neoplasms,Malignant neoplasms,55-64,164.0
Alabama,Malignant neoplasms,Malignant neoplasms,65-74,309.0
Alabama,Malignant neoplasms,Malignant neoplasms,75-84,289.0
Alabama,Malignant neoplasms,Malignant neoplasms,85+,157.0
Alabama,Malignant neoplasms,Malignant neoplasms,Not stated,0.0
Alabama,Malignant neoplasms,Malignant neoplasms,All Ages,983.0
Alabama,Diabetes,Diabetes,0-24,
Alabama,Diabetes,Diabetes,25-34,23.0
Alabama,Diabetes,Diabetes,35-44,80.0
Alabama,Diabetes,Diabetes,45-54,194.0
Alabama,Diabetes,Diabetes,55-64,432.0
Alabama,Diabetes,Diabetes,65-74,634.0
Alabama,Diabetes,Diabetes,75-84,592.0
Alabama,Diabetes,Diabetes,85+,242.0
Alabama,Diabetes,Diabetes,Not stated,0.0
Alabama,Diabetes,Diabetes,All Ages,2198.0
Alabama,Obesity,Obesity,0-24,
Alabama,Obesity,Obesity,25-34,31.0
Alabama,Obesity,Obesity,35-44,80.0
Alabama,Obesity,Obesity,45-54,112.0
Alabama,Obesity,Obesity,55-64,180.0
Alabama,Obesity,Obesity,65-74,127.0
Alabama,Obesity,Obesity,75-84,67.0
Alabama,Obesity,Obesity,85+,13.0
Alabama,Obesity,Obesity,Not stated,0.0
Alabama,Obesity,Obesity,All Ages,613.0
Alabama,Alzheimer disease,Alzheimer disease,0-24,0.0
Alabama,Alzheimer disease,Alzheimer disease,25-34,0.0
Alabama,Alzheimer disease,Alzheimer disease,35-44,0.0
Alabama,Alzheimer disease,Alzheimer disease,45-54,
Alabama,Alzheimer disease,Alzheimer disease,55-64,
Alabama,Alzheimer disease,Alzheimer disease,65-74,48.0
Alabama,Alzheimer disease,Alzheimer disease,75-84,166.0
Alabama,Alzheimer disease,Alzheimer disease,85+,252.0
Alabama,Alzheimer disease,Alzheimer disease,Not stated,0.0
Alabama,Alzheimer disease,Alzheimer disease,All Ages,473.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,0-24,0.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,25-34,0.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,35-44,0.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,45-54,0.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,55-64,17.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,65-74,137.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,75-84,375.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,85+,546.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,Not stated,0.0
Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,1075.0
Alabama,Renal failure,Renal failure,0-24,
Alabama,Renal failure,Renal failure,25-34,23.0
Alabama,Renal failure,Renal failure,35-44,87.0
Alabama,Renal failure,Renal failure,45-54,200.0
Alabama,Renal failure,Renal failure,55-64,429.0
Alabama,Renal failure,Renal failure,65-74,711.0
Alabama,Renal failure,Renal failure,75-84,644.0
Alabama,Renal failure,Renal failure,85+,336.0
Alabama,Renal failure,Renal failure,Not stated,0.0
Alabama,Renal failure,Renal failure,All Ages,2436.0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35-44,17.0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",45-54,29.0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",55-64,47.0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",65-74,82.0
Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",75-84,85.0
